species,type,genus,name,hexcode,species_name,decade,pct_abundance,species_id,bar_order
Spiroplectammina biformis,Foram,Spiroplectammina,Spiroplectammina,#dd605a,S. biformis,0,2.642276422764227,species_11,6
Spiroplectammina earlandi,Foram,Spiroplectammina,Spiroplectammina,#dd605a,NA,0,0,species_51,6
Stainforthia loeblichi,Foram,Stainforthia,Foram,#e7f0e7,NA,0,3.1300813008130075,species_12,4
Stanforthia feylingi,Foram,Stanforthia,Foram,#e7f0e7,NA,0,7.154471544715444,species_13,4
Textularia torquata,Foram,Textularia,Foram,#e7f0e7,NA,0,0,species_44,4
Triloculina frigida,Foram,Triloculina,Foram,#e7f0e7,NA,0,0.24390243902439016,species_14,4
Trochammina,Foram,Trochammina,Foram,#e7f0e7,NA,0,0.24390243902439016,species_15,4
Acanthocythereis dun,Ostracode,Acanthocythereis,Ostracode,#e7f0e7,NA,100,1.4583333333333333,species_16,4
Agglutinated indet.,Foram,Agglutinated,Foram,#e7f0e7,NA,100,0,species_45,4
Argilloecia spp....6,Ostracode,Argilloecia,Ostracode,#e7f0e7,NA,100,0,species_47,4
Biserial Foram,Foram,Biserial,Foram,#e7f0e7,NA,100,0,species_48,4
Bolivina arctica,Foram,Bolivina,Foram,#e7f0e7,NA,100,0,species_62,4
Buccella frigida,Foram,Buccella,Foram,#e7f0e7,NA,100,0.3252266974270242,species_1,4
Bythocythere constri,Ostracode,Bythocythere,Ostracode,#e7f0e7,NA,100,1.6666666666666667,species_17,4
Cassidulina reniforme,Foram,Cassidulina,Cassidulina,#3c475a,C. reniforme,100,17.478131308276456,species_2,2
Cassidulina teretis,Foram,Cassidulina,Cassidulina,#3c475a,NA,100,8.000897177096348,species_3,2
Cluthia cluthae (Bra,Ostracode,Cluthia,Ostracode,#e7f0e7,NA,100,1.6666666666666667,species_18,4
Cyclogyra,Foram,Cyclogyra,Foram,#e7f0e7,NA,100,0,species_39,4
Cytheromorpha macche,Ostracode,Cytheromorpha,Ostracode,#e7f0e7,NA,100,0,species_32,4
Cytheropteron arctic,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,100,0,species_55,4
Cytheropteron biconv,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,100,0,species_40,4
Cytheropteron elaeni,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,100,3.3333333333333335,species_19,4
Cytheropteron inflat,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,100,0,species_52,4
Cytheropteron montro,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,100,0,species_36,4
Cytheropteron nodoso,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,100,0,species_58,4
Cytheropteron parala,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,100,0,species_53,4
Cytheropteron spp...,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,100,0,species_37,4
Dentalina,Foram,Dentalina,Foram,#e7f0e7,NA,100,0,species_49,4
E. subarcticum,Foram,Elphidium,Elphidium,#697a93,NA,100,0.08090614886731388,species_20,1
